"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"sex";"Own_survival";"N_Recruits";"r2s";"estimated_pop_size";"in_out";"n";"N";"Mean_N_isl";"zNR"
"1";"2008_1_indre kvarøy";"2008_1";1;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";"obs";NA;NA;1;1;1;3;68;1;4.21950770517611;68;59.2272727272727;0.219318181818182
"2";"2009_1_indre kvarøy";"2009_1";1;"2009_indre kvarøy";2009;"indre kvarøy";28;2;2007;"no";NA;"capt";NA;1;1;5;7;41;1;3.71357206670431;41;59.2272727272727;-0.455681818181818
"3";"2010_1_indre kvarøy";"2010_1";1;"2010_indre kvarøy";2010;"indre kvarøy";28;3;2007;"no";NA;"capt";NA;1;1;0;2;60;1;4.0943445622221;60;59.2272727272727;0.0193181818181818
"4";"2011_1_indre kvarøy";"2011_1";1;"2011_indre kvarøy";2011;"indre kvarøy";28;4;2007;"gene_new";NA;NA;"gene_new";1;0;1;1;129;1;4.85981240436167;129;59.2272727272727;1.74431818181818
"5";"2008_2_indre kvarøy";"2008_2";2;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";"obs";"capt";NA;0;0;0;0;68;1;4.21950770517611;68;59.2272727272727;0.219318181818182
"6";"2008_3_indre kvarøy";"2008_3";3;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";"obs";"capt";NA;1;1;0;2;68;1;4.21950770517611;68;59.2272727272727;0.219318181818182
"7";"2009_3_indre kvarøy";"2009_3";3;"2009_indre kvarøy";2009;"indre kvarøy";28;2;2007;"no";NA;"capt";NA;1;1;4;6;41;1;3.71357206670431;41;59.2272727272727;-0.455681818181818
"8";"2010_3_indre kvarøy";"2010_3";3;"2010_indre kvarøy";2010;"indre kvarøy";28;3;2007;"no";"obs";"capt";NA;1;0;0;0;60;1;4.0943445622221;60;59.2272727272727;0.0193181818181818
"9";"2007_4_indre kvarøy";"2007_4";4;"2007_indre kvarøy";2007;"indre kvarøy";28;1;2006;"no";NA;"capt";NA;1;0;0;0;57;1;4.04305126783455;57;59.2272727272727;-0.0556818181818182
"10";"2008_5_indre kvarøy";"2008_5";5;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";NA;"capt";NA;1;0;0;0;68;1;4.21950770517611;68;59.2272727272727;0.219318181818182
"11";"2008_6_gjerøy";"2008_6";6;"2008_gjerøy";2008;"gjerøy";26;1;2007;"no";NA;"capt";NA;0;1;1;3;121;1;4.79579054559674;121;82.1363636363636;0.971590909090909
"12";"2009_6_gjerøy";"2009_6";6;"2009_gjerøy";2009;"gjerøy";26;2;2007;"no";"obs";"capt";NA;0;0;1;1;107;1;4.67282883446191;107;82.1363636363636;0.621590909090909
"13";"2008_7_gjerøy";"2008_7";7;"2008_gjerøy";2008;"gjerøy";26;1;2007;"no";"obs";"capt";NA;1;1;0;2;121;1;4.79579054559674;121;82.1363636363636;0.971590909090909
"14";"2009_7_gjerøy";"2009_7";7;"2009_gjerøy";2009;"gjerøy";26;2;2007;"no";"obs";NA;NA;1;1;3;5;107;1;4.67282883446191;107;82.1363636363636;0.621590909090909
"15";"2010_7_gjerøy";"2010_7";7;"2010_gjerøy";2010;"gjerøy";26;3;2007;"gene_new";NA;NA;"gene_new";1;0;6;6;136;1;4.91265488573605;136;82.1363636363636;1.34659090909091
"16";"2007_8_gjerøy";"2007_8";8;"2007_gjerøy";2007;"gjerøy";26;1;2006;"no";"obs";"capt";NA;0;1;3;5;108;1;4.68213122712422;108;82.1363636363636;0.646590909090909
"17";"2008_8_gjerøy";"2008_8";8;"2008_gjerøy";2008;"gjerøy";26;2;2006;"no";"obs";NA;NA;0;1;1;3;121;1;4.79579054559674;121;82.1363636363636;0.971590909090909
"18";"2009_8_gjerøy";"2009_8";8;"2009_gjerøy";2009;"gjerøy";26;3;2006;"no";"obs";"capt";NA;0;0;3;3;107;1;4.67282883446191;107;82.1363636363636;0.621590909090909
"19";"2008_9_gjerøy";"2008_9";9;"2008_gjerøy";2008;"gjerøy";26;1;2007;"no";"obs";"capt";NA;1;0;0;0;121;1;4.79579054559674;121;82.1363636363636;0.971590909090909
"20";"1999_10_aldra";"1999_10";10;"1999_aldra";1999;"aldra";38;1;1998;"no";"obs";NA;NA;1;1;6;8;11;1;2.39789527279837;11;26.8181818181818;-0.395454545454545
"21";"2000_10_aldra";"2000_10";10;"2000_aldra";2000;"aldra";38;2;1998;"no";"obs";NA;NA;1;1;5;7;23;1;3.13549421592915;23;26.8181818181818;-0.0954545454545454
"22";"2001_10_aldra";"2001_10";10;"2001_aldra";2001;"aldra";38;3;1998;"no";"obs";NA;NA;1;0;0;0;33;1;3.49650756146648;33;26.8181818181818;0.154545454545455
"23";"1999_11_aldra";"1999_11";11;"1999_aldra";1999;"aldra";38;1;1998;"no";"obs";"capt";NA;0;1;3;5;11;1;2.39789527279837;11;26.8181818181818;-0.395454545454545
"24";"2000_11_aldra";"2000_11";11;"2000_aldra";2000;"aldra";38;2;1998;"gene_new";NA;NA;"gene_new";0;0;1;1;23;1;3.13549421592915;23;26.8181818181818;-0.0954545454545454
"25";"1999_12_aldra";"1999_12";12;"1999_aldra";1999;"aldra";38;1;1998;"no";"obs";"capt";NA;1;0;0;0;11;1;2.39789527279837;11;26.8181818181818;-0.395454545454545
"26";"1999_13_aldra";"1999_13";13;"1999_aldra";1999;"aldra";38;1;1998;"no";"obs";"capt";NA;1;1;0;2;11;1;2.39789527279837;11;26.8181818181818;-0.395454545454545
"27";"2000_13_aldra";"2000_13";13;"2000_aldra";2000;"aldra";38;2;1998;"no";"obs";"capt";NA;1;1;2;4;23;1;3.13549421592915;23;26.8181818181818;-0.0954545454545454
"28";"2001_13_aldra";"2001_13";13;"2001_aldra";2001;"aldra";38;3;1998;"no";"obs";NA;NA;1;0;0;0;33;1;3.49650756146648;33;26.8181818181818;0.154545454545455
"29";"1999_14_aldra";"1999_14";14;"1999_aldra";1999;"aldra";38;1;1998;"no";"obs";"capt";NA;1;1;0;2;11;1;2.39789527279837;11;26.8181818181818;-0.395454545454545
"30";"2000_14_aldra";"2000_14";14;"2000_aldra";2000;"aldra";38;2;1998;"no";NA;"capt";NA;1;0;1;1;23;1;3.13549421592915;23;26.8181818181818;-0.0954545454545454
"31";"1999_15_indre kvarøy";"1999_15";15;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"no";"obs";NA;NA;0;0;0;0;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"32";"1999_16_indre kvarøy";"1999_16";16;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"no";"obs";NA;NA;1;0;1;1;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"33";"1998_17_indre kvarøy";"1998_17";17;"1998_indre kvarøy";1998;"indre kvarøy";28;1;1997;"no";NA;"capt";NA;1;1;3;5;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"34";"1999_17_indre kvarøy";"1999_17";17;"1999_indre kvarøy";1999;"indre kvarøy";28;2;1997;"no";"obs";NA;NA;1;0;0;0;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"35";"1999_18_indre kvarøy";"1999_18";18;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"no";"obs";NA;NA;1;1;0;2;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"36";"2000_18_indre kvarøy";"2000_18";18;"2000_indre kvarøy";2000;"indre kvarøy";28;2;1998;"no";"obs";NA;NA;1;1;2;4;32;1;3.46573590279973;32;59.2272727272727;-0.680681818181818
"37";"2001_18_indre kvarøy";"2001_18";18;"2001_indre kvarøy";2001;"indre kvarøy";28;3;1998;"no";"obs";NA;NA;1;0;1;1;40;1;3.68887945411394;40;59.2272727272727;-0.480681818181818
"38";"1999_19_hestmannøy";"1999_19";19;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";NA;NA;0;1;0;2;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"39";"2000_19_hestmannøy";"2000_19";19;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";"obs";NA;NA;0;1;2;4;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"40";"2001_19_hestmannøy";"2001_19";19;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";"obs";"capt";NA;0;0;0;0;141;1;4.94875989037817;141;145.181818181818;-0.104545454545455
"41";"1999_20_indre kvarøy";"1999_20";20;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"yes";NA;NA;NA;0;1;0;2;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"42";"2000_20_indre kvarøy";"2000_20";20;"2000_indre kvarøy";2000;"indre kvarøy";28;2;1998;"yes";NA;NA;NA;0;1;1;3;32;1;3.46573590279973;32;59.2272727272727;-0.680681818181818
