"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"in_out";"sex"
"1";"2008_1_indre kvarøy";"2008_1";1;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";"obs";NA;NA;1;68;68;4.21950770517611;1;1
"2";"2009_1_indre kvarøy";"2009_1";1;"2009_indre kvarøy";2009;"indre kvarøy";28;2;2007;"no";NA;"capt";NA;1;41;41;3.71357206670431;1;1
"3";"2010_1_indre kvarøy";"2010_1";1;"2010_indre kvarøy";2010;"indre kvarøy";28;3;2007;"no";NA;"capt";NA;1;60;60;4.0943445622221;1;1
"4";"2011_1_indre kvarøy";"2011_1";1;"2011_indre kvarøy";2011;"indre kvarøy";28;4;2007;"gene_new";NA;NA;"gene_new";0;129;129;4.85981240436167;1;1
"5";"2008_2_indre kvarøy";"2008_2";2;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";"obs";"capt";NA;0;68;68;4.21950770517611;1;0
"6";"2008_3_indre kvarøy";"2008_3";3;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";"obs";"capt";NA;1;68;68;4.21950770517611;1;1
"7";"2009_3_indre kvarøy";"2009_3";3;"2009_indre kvarøy";2009;"indre kvarøy";28;2;2007;"no";NA;"capt";NA;1;41;41;3.71357206670431;1;1
"8";"2010_3_indre kvarøy";"2010_3";3;"2010_indre kvarøy";2010;"indre kvarøy";28;3;2007;"no";"obs";"capt";NA;0;60;60;4.0943445622221;1;1
"9";"2007_4_indre kvarøy";"2007_4";4;"2007_indre kvarøy";2007;"indre kvarøy";28;1;2006;"no";NA;"capt";NA;0;57;57;4.04305126783455;1;1
"10";"2008_5_indre kvarøy";"2008_5";5;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";NA;"capt";NA;0;68;68;4.21950770517611;1;1
"11";"2008_6_gjerøy";"2008_6";6;"2008_gjerøy";2008;"gjerøy";26;1;2007;"no";NA;"capt";NA;1;121;121;4.79579054559674;1;0
"12";"2009_6_gjerøy";"2009_6";6;"2009_gjerøy";2009;"gjerøy";26;2;2007;"no";"obs";"capt";NA;0;107;107;4.67282883446191;1;0
