"Location";"Year";"in_out";"N";"N_t_plus_one";"lambda";"delta_N";"Adult_survival";"Fledgling_to_rec";"Nestling_to_fledge";"Nestlings_born"
"1";"aldra";1999;1;11;23;2.09090909090909;12;6;3;3;5
"2";"aldra";2000;1;23;33;1.43478260869565;10;9;9;14;17
"3";"aldra";2001;1;33;34;1.03030303030303;1;20;5;5;11
"4";"aldra";2002;1;34;36;1.05882352941176;2;22;6;9;27
"5";"aldra";2003;1;36;53;1.47222222222222;17;24;9;12;24
"6";"aldra";2004;1;53;61;1.15094339622642;8;32;5;8;22
"7";"aldra";2005;1;61;37;0.60655737704918;-24;33;4;4;14
"8";"aldra";2006;1;37;43;1.16216216216216;6;30;2;6;22
"9";"aldra";2007;1;43;52;1.2093023255814;9;26;3;5;11
"10";"aldra";2008;1;52;52;1;0;36;4;9;33
"11";"aldra";2009;1;52;27;0.519230769230769;-25;12;2;7;27
"12";"aldra";2010;1;27;23;0.851851851851852;-4;12;2;5;19
"13";"aldra";2011;1;23;26;1.1304347826087;3;12;4;11;14
"14";"aldra";2012;1;26;15;0.576923076923077;-11;7;4;7;25
"15";"aldra";2013;1;15;22;1.46666666666667;7;3;3;6;10
"16";"aldra";2014;1;22;10;0.454545454545455;-12;2;0;0;1
"17";"aldra";2016;1;7;7;1;0;3;1;3;9
"18";"aldra";2017;1;7;11;1.57142857142857;4;2;0;0;5
"19";"aldra";2018;1;11;3;0.272727272727273;-8;2;0;0;1
"20";"gjerøy";1998;1;66;78;1.18181818181818;12;42;14;16;59
"21";"gjerøy";1999;1;78;67;0.858974358974359;-11;44;7;17;50
"22";"gjerøy";2000;1;67;59;0.880597014925373;-8;31;13;26;69
"23";"gjerøy";2001;1;59;52;0.88135593220339;-7;33;14;24;59
"24";"gjerøy";2002;1;52;74;1.42307692307692;22;22;19;37;83
"25";"gjerøy";2003;1;74;58;0.783783783783784;-16;30;8;15;44
"26";"gjerøy";2004;1;58;58;1;0;30;7;17;42
"27";"gjerøy";2005;1;58;63;1.08620689655172;5;30;8;11;28
"28";"gjerøy";2006;1;63;108;1.71428571428571;45;39;13;23;48
"29";"gjerøy";2007;1;108;121;1.12037037037037;13;44;14;26;50
