"ID";"lifestage";"Year";"Island";"Location"
"1";1;"fledge";2007;22;"myken"
"2";1;"nest";2007;22;"myken"
"3";2;"nest";2007;22;"myken"
"4";2;"fledge";2007;22;"myken"
"5";3;"nest";2007;22;"myken"
"6";4;"nest";2007;27;"hestmannøy"
"7";5;"nest";2007;27;"hestmannøy"
"8";6;"nest";2007;27;"hestmannøy"
"9";6;"fledge";2007;27;"hestmannøy"
"10";7;"nest";2007;27;"hestmannøy"
"11";8;"nest";2007;27;"hestmannøy"
"12";9;"nest";2007;27;"hestmannøy"
"13";10;"nest";2007;28;"indre kvarøy"
"14";11;"nest";2007;28;"indre kvarøy"
"15";11;"fledge";2007;28;"indre kvarøy"
"16";12;"nest";1999;27;"hestmannøy"
"17";13;"nest";1999;27;"hestmannøy"
"18";14;"nest";1999;27;"hestmannøy"
"19";15;"nest";1999;27;"hestmannøy"
"20";15;"fledge";1999;27;"hestmannøy"
"21";15;"recruit";1999;27;"hestmannøy"
"22";16;"nest";1999;27;"hestmannøy"
"23";17;"nest";1999;27;"hestmannøy"
"24";17;"fledge";1999;27;"hestmannøy"
"25";17;"recruit";1999;27;"hestmannøy"
"26";18;"nest";1999;26;"gjerøy"
"27";19;"nest";1999;26;"gjerøy"
"28";19;"recruit";1999;26;"gjerøy"
"29";20;"nest";1999;26;"gjerøy"
"30";21;"nest";1999;27;"hestmannøy"
"31";22;"nest";1999;27;"hestmannøy"
"32";22;"fledge";1999;27;"hestmannøy"
"33";23;"nest";1999;27;"hestmannøy"
"34";24;"nest";1999;24;"selvær"
"35";24;"fledge";1999;24;"selvær"
"36";25;"nest";1999;24;"selvær"
"37";25;"recruit";1999;24;"selvær"
"38";26;"nest";1999;24;"selvær"
"39";27;"nest";1999;35;"sleneset"
"40";27;"fledge";1999;35;"sleneset"
"41";28;"nest";1999;35;"sleneset"
"42";29;"nest";1999;35;"sleneset"
"43";29;"fledge";1999;35;"sleneset"
"44";30;"nest";1999;35;"sleneset"
"45";31;"nest";1999;35;"sleneset"
"46";32;"nest";1999;35;"sleneset"
"47";33;"nest";1999;35;"sleneset"
"48";33;"recruit";1999;35;"sleneset"
"49";34;"nest";1999;35;"sleneset"
"50";35;"nest";1999;35;"sleneset"
"51";36;"nest";1999;35;"sleneset"
"52";36;"recruit";1999;35;"sleneset"
"53";37;"nest";1999;35;"sleneset"
"54";38;"nest";1999;35;"sleneset"
"55";39;"nest";1999;35;"sleneset"
"56";39;"recruit";1999;35;"sleneset"
"57";40;"nest";1999;35;"sleneset"
"58";41;"nest";1999;24;"selvær"
"59";41;"fledge";1999;24;"selvær"
"60";42;"fledge";1999;24;"selvær"
"61";42;"nest";1999;24;"selvær"
"62";43;"fledge";1999;28;"indre kvarøy"
"63";43;"nest";1999;28;"indre kvarøy"
"64";44;"nest";1999;28;"indre kvarøy"
"65";45;"nest";1999;28;"indre kvarøy"
"66";46;"nest";1999;28;"indre kvarøy"
"67";47;"nest";1999;28;"indre kvarøy"
"68";47;"fledge";1999;28;"indre kvarøy"
"69";48;"nest";1999;28;"indre kvarøy"
"70";49;"nest";1999;28;"indre kvarøy"
"71";50;"fledge";1999;28;"indre kvarøy"
"72";50;"nest";1999;28;"indre kvarøy"
"73";50;"recruit";1999;28;"indre kvarøy"
"74";51;"nest";1999;28;"indre kvarøy"
"75";52;"nest";1999;27;"hestmannøy"
"76";53;"nest";1999;27;"hestmannøy"
"77";54;"nest";1999;27;"hestmannøy"
"78";55;"nest";1999;27;"hestmannøy"
"79";55;"fledge";1999;27;"hestmannøy"
"80";55;"adult";1999;27;"hestmannøy"
"81";56;"nest";1999;27;"hestmannøy"
"82";57;"nest";1999;27;"hestmannøy"
"83";57;"fledge";1999;27;"hestmannøy"
"84";58;"nest";1999;27;"hestmannøy"
"85";59;"nest";1999;27;"hestmannøy"
"86";59;"fledge";1999;27;"hestmannøy"
"87";59;"recruit";1999;27;"hestmannøy"
"88";59;"adult";1999;27;"hestmannøy"
"89";60;"nest";1999;27;"hestmannøy"
"90";61;"nest";1999;27;"hestmannøy"
"91";62;"nest";1999;27;"hestmannøy"
"92";63;"nest";1999;27;"hestmannøy"
"93";64;"nest";1999;27;"hestmannøy"
"94";65;"nest";1999;26;"gjerøy"
"95";66;"nest";1999;26;"gjerøy"
"96";66;"fledge";1999;26;"gjerøy"
"97";66;"recruit";1999;26;"gjerøy"
"98";66;"adult";1999;26;"gjerøy"
"99";67;"nest";1999;26;"gjerøy"
"100";68;"nest";1999;26;"gjerøy"
"101";69;"nest";1999;26;"gjerøy"
"102";70;"nest";1999;26;"gjerøy"
"103";71;"nest";1999;26;"gjerøy"
"104";72;"nest";1999;26;"gjerøy"
"105";73;"nest";1999;27;"hestmannøy"
"106";74;"nest";1999;27;"hestmannøy"
"107";75;"nest";1999;27;"hestmannøy"
"108";76;"nest";1999;27;"hestmannøy"
"109";77;"nest";1999;27;"hestmannøy"
"110";78;"nest";1999;27;"hestmannøy"
"111";79;"nest";1999;26;"gjerøy"
"112";80;"nest";1999;26;"gjerøy"
"113";80;"fledge";1999;26;"gjerøy"
"114";81;"nest";1999;26;"gjerøy"
"115";81;"fledge";1999;26;"gjerøy"
"116";82;"nest";1999;26;"gjerøy"
"117";83;"nest";1999;26;"gjerøy"
"118";84;"nest";1999;26;"gjerøy"
"119";84;"fledge";1999;26;"gjerøy"
