"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_age_sq";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"zNR";"in_out";"sex";"N_nestlings";"N_Recruits";"r2s"
"1";"2008_1_indre kvarøy";"2008_1";1;"2008_indre kvarøy";2008;"indre kvarøy";28;0;0;2007;"no";"obs";NA;NA;1;68;68;4.21950770517611;-0.040625;1;1;3;1;3
"2";"2010_1_indre kvarøy";"2010_1";1;"2010_indre kvarøy";2010;"indre kvarøy";28;2;4;2007;"no";NA;"capt";NA;1;60;60;4.0943445622221;-0.240625;1;1;11;0;2
"3";"2008_2_indre kvarøy";"2008_2";2;"2008_indre kvarøy";2008;"indre kvarøy";28;0;0;2007;"no";"obs";"capt";NA;0;68;68;4.21950770517611;-0.040625;1;0;4;0;0
"4";"2008_3_indre kvarøy";"2008_3";3;"2008_indre kvarøy";2008;"indre kvarøy";28;0;0;2007;"no";"obs";"capt";NA;1;68;68;4.21950770517611;-0.040625;1;1;4;0;2
"5";"2009_4_gjerøy";"2009_4";4;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";NA;NA;1;107;107;4.67282883446191;-0.596875;1;1;16;3;5
"6";"2010_4_gjerøy";"2010_4";4;"2010_gjerøy";2010;"gjerøy";26;2;4;2007;"gene_new";NA;NA;"gene_new";0;136;136;4.91265488573605;0.128125;1;1;12;6;6
"7";"2009_5_gjerøy";"2009_5";5;"2009_gjerøy";2009;"gjerøy";26;2;4;2006;"no";"obs";"capt";NA;0;107;107;4.67282883446191;-0.596875;1;0;8;3;3
"8";"2009_6_hestmannøy";"2009_6";6;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";NA;"capt";NA;1;157;157;5.05624580534831;-0.321875;1;0;8;4;6
"9";"2008_7_hestmannøy";"2008_7";7;"2008_hestmannøy";2008;"hestmannøy";27;0;0;2007;"no";"obs";NA;NA;0;153;153;5.03043792139244;-0.421875;1;1;1;0;0
"10";"2008_8_hestmannøy";"2008_8";8;"2008_hestmannøy";2008;"hestmannøy";27;0;0;2007;"no";NA;"capt";NA;1;153;153;5.03043792139244;-0.421875;1;1;3;1;3
"11";"2009_8_hestmannøy";"2009_8";8;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";"obs";"capt";NA;1;157;157;5.05624580534831;-0.321875;1;1;5;0;2
"12";"2010_8_hestmannøy";"2010_8";8;"2010_hestmannøy";2010;"hestmannøy";27;2;4;2007;"no";"obs";"capt";NA;1;214;214;5.36597601502185;1.103125;1;1;6;2;4
"13";"2011_8_hestmannøy";"2011_8";8;"2011_hestmannøy";2011;"hestmannøy";27;3;9;2007;"gene_new";NA;NA;"gene_new";0;283;283;5.64544689764324;2.828125;1;1;1;0;0
"14";"2008_9_gjerøy";"2008_9";9;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;0;121;121;4.79579054559674;-0.246875;1;0;2;0;0
"15";"2010_10_indre kvarøy";"2010_10";10;"2010_indre kvarøy";2010;"indre kvarøy";28;2;4;2007;"no";NA;"capt";NA;1;60;60;4.0943445622221;-0.240625;1;1;3;2;4
"16";"2013_10_indre kvarøy";"2013_10";10;"2013_indre kvarøy";2013;"indre kvarøy";28;5;25;2007;"no";"obs";"capt";NA;0;70;70;4.24849524204936;0.009375;1;1;1;1;1
"17";"2010_11_indre kvarøy";"2010_11";11;"2010_indre kvarøy";2010;"indre kvarøy";28;2;4;2007;"no";NA;"capt";NA;1;60;60;4.0943445622221;-0.240625;1;1;1;0;2
"18";"2008_12_indre kvarøy";"2008_12";12;"2008_indre kvarøy";2008;"indre kvarøy";28;0;0;2007;"no";"obs";"capt";NA;0;68;68;4.21950770517611;-0.040625;1;1;7;2;2
"19";"2008_13_aldra";"2008_13";13;"2008_aldra";2008;"aldra";38;0;0;2007;"no";"obs";"capt";NA;1;52;52;3.95124371858143;0.4875;1;1;3;1;3
"20";"2009_13_aldra";"2009_13";13;"2009_aldra";2009;"aldra";38;1;1;2007;"no";"obs";"capt";NA;0;52;52;3.95124371858143;0.4875;1;1;1;0;0
"21";"2008_14_hestmannøy";"2008_14";14;"2008_hestmannøy";2008;"hestmannøy";27;0;0;2007;"no";NA;"capt";NA;1;153;153;5.03043792139244;-0.421875;1;0;2;1;3
"22";"2009_14_hestmannøy";"2009_14";14;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";NA;"capt";NA;1;157;157;5.05624580534831;-0.321875;1;0;4;0;2
"23";"2010_14_hestmannøy";"2010_14";14;"2010_hestmannøy";2010;"hestmannøy";27;2;4;2007;"no";NA;"capt";NA;1;214;214;5.36597601502185;1.103125;1;0;7;4;6
"24";"2011_14_hestmannøy";"2011_14";14;"2011_hestmannøy";2011;"hestmannøy";27;3;9;2007;"no";"obs";NA;NA;1;283;283;5.64544689764324;2.828125;1;0;7;2;4
"25";"2012_14_hestmannøy";"2012_14";14;"2012_hestmannøy";2012;"hestmannøy";27;4;16;2007;"gene_new";NA;NA;"gene_new";0;156;156;5.04985600724954;-0.346875;1;0;2;0;0
"26";"2008_15_gjerøy";"2008_15";15;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;1;121;121;4.79579054559674;-0.246875;1;0;1;0;2
"27";"2009_15_gjerøy";"2009_15";15;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";NA;"capt";NA;1;107;107;4.67282883446191;-0.596875;1;0;6;3;5
"28";"2010_15_gjerøy";"2010_15";15;"2010_gjerøy";2010;"gjerøy";26;2;4;2007;"no";"obs";"capt";NA;1;136;136;4.91265488573605;0.128125;1;0;9;4;6
"29";"2011_15_gjerøy";"2011_15";15;"2011_gjerøy";2011;"gjerøy";26;3;9;2007;"no";"obs";NA;NA;1;144;144;4.969813299576;0.328125;1;0;3;0;2
"30";"2012_15_gjerøy";"2012_15";15;"2012_gjerøy";2012;"gjerøy";26;4;16;2007;"yes";NA;NA;NA;1;196;196;5.27811465923052;1.628125;1;0;5;2;4
"31";"2008_16_hestmannøy";"2008_16";16;"2008_hestmannøy";2008;"hestmannøy";27;0;0;2007;"no";"obs";"capt";NA;1;153;153;5.03043792139244;-0.421875;1;1;4;1;3
"32";"2009_16_hestmannøy";"2009_16";16;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";"obs";"capt";NA;0;157;157;5.05624580534831;-0.321875;1;1;5;1;1
"33";"2009_17_gjerøy";"2009_17";17;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"yes";NA;NA;NA;1;107;107;4.67282883446191;-0.596875;1;1;3;0;2
"34";"2010_18_gjerøy";"2010_18";18;"2010_gjerøy";2010;"gjerøy";26;2;4;2007;"yes";NA;NA;NA;1;136;136;4.91265488573605;0.128125;1;1;1;2;4
"35";"2008_19_træna";"2008_19";19;"2008_træna";2008;"træna";23;0;0;2007;"no";"obs";NA;NA;0;28;28;3.3322045101752;-0.99375;0;1;1;0;0
"36";"2007_20_hestmannøy";"2007_20";20;"2007_hestmannøy";2007;"hestmannøy";27;0;0;2006;"no";NA;"capt";NA;1;172;172;5.14749447681345;0.053125;1;0;4;1;3
"37";"2009_20_hestmannøy";"2009_20";20;"2009_hestmannøy";2009;"hestmannøy";27;2;4;2006;"no";"obs";"capt";NA;0;157;157;5.05624580534831;-0.321875;1;0;3;2;2
"38";"2007_21_hestmannøy";"2007_21";21;"2007_hestmannøy";2007;"hestmannøy";27;0;0;2006;"no";"obs";"capt";NA;0;172;172;5.14749447681345;0.053125;1;0;7;0;0
"39";"2009_22_hestmannøy";"2009_22";22;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";"obs";NA;NA;0;157;157;5.05624580534831;-0.321875;1;1;9;2;2
"40";"2007_23_hestmannøy";"2007_23";23;"2007_hestmannøy";2007;"hestmannøy";27;0;0;2006;"no";"obs";"capt";NA;1;172;172;5.14749447681345;0.053125;1;1;5;0;2
"41";"2008_23_hestmannøy";"2008_23";23;"2008_hestmannøy";2008;"hestmannøy";27;1;1;2006;"yes";NA;NA;NA;1;153;153;5.03043792139244;-0.421875;1;1;6;0;2
"42";"2009_23_hestmannøy";"2009_23";23;"2009_hestmannøy";2009;"hestmannøy";27;2;4;2006;"no";"obs";"capt";NA;1;157;157;5.05624580534831;-0.321875;1;1;7;5;7
"43";"2010_23_hestmannøy";"2010_23";23;"2010_hestmannøy";2010;"hestmannøy";27;3;9;2006;"no";"obs";NA;NA;0;214;214;5.36597601502185;1.103125;1;1;1;0;0
"44";"2008_24_hestmannøy";"2008_24";24;"2008_hestmannøy";2008;"hestmannøy";27;0;0;2007;"no";"obs";"capt";NA;0;153;153;5.03043792139244;-0.421875;1;0;5;1;1
"45";"2008_25_hestmannøy";"2008_25";25;"2008_hestmannøy";2008;"hestmannøy";27;0;0;2007;"no";NA;"capt";NA;1;153;153;5.03043792139244;-0.421875;1;1;4;1;3
"46";"2009_25_hestmannøy";"2009_25";25;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";"obs";NA;NA;1;157;157;5.05624580534831;-0.321875;1;1;8;2;4
"47";"2011_26_hestmannøy";"2011_26";26;"2011_hestmannøy";2011;"hestmannøy";27;3;9;2007;"no";"obs";"capt";NA;0;283;283;5.64544689764324;2.828125;1;0;2;0;0
"48";"2010_27_hestmannøy";"2010_27";27;"2010_hestmannøy";2010;"hestmannøy";27;2;4;2007;"no";NA;"capt";NA;0;214;214;5.36597601502185;1.103125;1;1;2;2;2
"49";"2007_28_hestmannøy";"2007_28";28;"2007_hestmannøy";2007;"hestmannøy";27;0;0;2006;"no";"obs";"capt";NA;1;172;172;5.14749447681345;0.053125;1;0;6;0;2
"50";"2008_28_hestmannøy";"2008_28";28;"2008_hestmannøy";2008;"hestmannøy";27;1;1;2006;"no";"obs";"capt";NA;1;153;153;5.03043792139244;-0.421875;1;0;3;1;3
"51";"2009_28_hestmannøy";"2009_28";28;"2009_hestmannøy";2009;"hestmannøy";27;2;4;2006;"no";"obs";"capt";NA;0;157;157;5.05624580534831;-0.321875;1;0;9;4;4
"52";"2008_29_nesøy";"2008_29";29;"2008_nesøy";2008;"nesøy";20;0;0;2007;"no";"obs";NA;NA;1;21;21;3.04452243772342;0.084375;1;0;7;1;3
"53";"2009_29_nesøy";"2009_29";29;"2009_nesøy";2009;"nesøy";20;1;1;2007;"no";"obs";NA;NA;1;17;17;2.83321334405622;-0.015625;1;0;9;2;4
"54";"2010_29_nesøy";"2010_29";29;"2010_nesøy";2010;"nesøy";20;2;4;2007;"no";"obs";"capt";NA;1;17;17;2.83321334405622;-0.015625;1;0;6;1;3
"55";"2011_29_nesøy";"2011_29";29;"2011_nesøy";2011;"nesøy";20;3;9;2007;"yes";NA;NA;NA;1;35;35;3.55534806148941;0.434375;1;0;3;0;2
"56";"2012_29_nesøy";"2012_29";29;"2012_nesøy";2012;"nesøy";20;4;16;2007;"no";"obs";"capt";NA;0;23;23;3.13549421592915;0.134375;1;0;8;3;3
"57";"2010_30_hestmannøy";"2010_30";30;"2010_hestmannøy";2010;"hestmannøy";27;2;4;2007;"no";NA;"capt";NA;0;214;214;5.36597601502185;1.103125;1;0;4;2;2
"58";"2008_31_gjerøy";"2008_31";31;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;1;121;121;4.79579054559674;-0.246875;1;0;3;0;2
"59";"2009_32_hestmannøy";"2009_32";32;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"gene_new";NA;NA;"gene_new";0;157;157;5.05624580534831;-0.321875;1;1;5;2;2
"60";"2007_33_myken";"2007_33";33;"2007_myken";2007;"myken";22;5;25;2001;"no";"obs";"capt";NA;0;32;32;3.46573590279973;0.221428571428571;0;1;2;0;0
"61";"2007_34_sleneset";"2007_34";34;"2007_sleneset";2007;"sleneset";35;5;25;2001;"gene_new";NA;NA;"gene_new";0;52;52;3.95124371858143;0.334375;0;0;5;1;1
"62";"2008_35_aldra";"2008_35";35;"2008_aldra";2008;"aldra";38;7;49;2000;"no";NA;"capt";NA;1;52;52;3.95124371858143;0.4875;1;1;2;0;2
"63";"2009_35_aldra";"2009_35";35;"2009_aldra";2009;"aldra";38;8;64;2000;"no";NA;"capt";NA;0;52;52;3.95124371858143;0.4875;1;1;1;0;0
"64";"2007_36_myken";"2007_36";36;"2007_myken";2007;"myken";22;5;25;2001;"no";"obs";NA;NA;0;32;32;3.46573590279973;0.221428571428571;0;1;2;0;0
"65";"2007_37_aldra";"2007_37";37;"2007_aldra";2007;"aldra";38;5;25;2001;"no";"obs";"capt";NA;1;43;43;3.76120011569356;0.2625;1;0;6;3;5
"66";"2008_37_aldra";"2008_37";37;"2008_aldra";2008;"aldra";38;6;36;2001;"no";"obs";"capt";NA;1;52;52;3.95124371858143;0.4875;1;0;5;2;4
"67";"2009_37_aldra";"2009_37";37;"2009_aldra";2009;"aldra";38;7;49;2001;"no";"obs";"capt";NA;0;52;52;3.95124371858143;0.4875;1;0;1;0;0
"68";"2009_38_hestmannøy";"2009_38";38;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";"obs";"capt";NA;1;157;157;5.05624580534831;-0.321875;1;1;1;2;4
