Year;date;scriptsex;Island;Location;stage;Least_age;Least_hatchyear;ID
2021;2021-09-19;m;23;træna;obs;0;2021;1
2021;2021-08-07;m;23;træna;capt;0;2021;1
2007;2007-07-24;f;28;indre kvarøy;capt;0;2007;2
2007;2007-07-24;m;28;indre kvarøy;capt;0;2007;3
2007;2007-10-05;m;28;indre kvarøy;capt;0;2007;3
2008;2008-10-20;m;28;indre kvarøy;obs;1;2007;3
2009;2009-07-30;m;28;indre kvarøy;capt;2;2007;3
2010;2010-05-07;m;28;indre kvarøy;capt;3;2007;3
2010;2010-08-10;m;28;indre kvarøy;capt;3;2007;3
2007;2007-10-05;f;28;indre kvarøy;obs;0;2007;4
2007;2007-10-05;f;28;indre kvarøy;capt;0;2007;4
2007;2007-07-24;f;28;indre kvarøy;capt;0;2007;4
2008;2008-06-17;f;28;indre kvarøy;capt;1;2007;4
2008;2008-10-01;f;28;indre kvarøy;capt;1;2007;4
2008;2008-05-09;f;28;indre kvarøy;obs;1;2007;4
2007;2007-10-05;m;28;indre kvarøy;capt;0;2007;5
2007;2007-07-24;m;28;indre kvarøy;capt;0;2007;5
2008;2008-05-29;m;28;indre kvarøy;capt;1;2007;5
2008;2008-05-09;m;28;indre kvarøy;obs;1;2007;5
2008;2008-06-11;m;28;indre kvarøy;obs;1;2007;5
2008;2008-07-18;m;28;indre kvarøy;obs;1;2007;5
2009;2009-08-11;m;28;indre kvarøy;capt;2;2007;5
2010;2010-06-19;m;28;indre kvarøy;capt;3;2007;5
2010;2010-07-21;m;28;indre kvarøy;capt;3;2007;5
2010;2010-06-23;m;28;indre kvarøy;obs;3;2007;5
2007;2007-07-24;f;28;indre kvarøy;capt;0;2007;6
2007;2007-07-24;m;28;indre kvarøy;capt;0;2007;7
2007;2007-08-11;m;28;indre kvarøy;capt;0;2007;7
2007;2007-11-10;m;28;indre kvarøy;obs;0;2007;7
2007;2007-07-24;m;28;indre kvarøy;capt;1;2006;8
2007;2007-07-24;m;28;indre kvarøy;capt;0;2007;9
2007;2007-08-11;m;28;indre kvarøy;capt;0;2007;9
2007;2007-10-05;m;28;indre kvarøy;capt;0;2007;9
2007;2007-10-05;m;28;indre kvarøy;obs;0;2007;9
2008;2008-06-02;m;28;indre kvarøy;capt;1;2007;9
2007;2007-07-24;m;28;indre kvarøy;capt;0;2007;10
2007;2007-07-25;f;26;gjerøy;capt;0;2007;11
