sex;ID
1;3
0;4
1;5
1;8
1;9
0;11
1;12
0;14
1;16
1;30
0;31
1;32
1;34
1;35
0;36
1;37
1;39
1;41
0;42
0;43
0;44
1;46
0;47
1;48
1;53
0;60
0;61
1;63
1;64
1;65
0;66
1;67
0;68
0;71
1;73
1;75
1;77
0;78
0;79
1;83
0;84
0;85
0;86
0;87
1;88
1;89
1;90
1;91
0;92
0;94
1;102
0;105
1;108
0;112
1;113
0;121
1;122
0;127
1;131
1;138
1;157
1;168
0;169
1;182
1;197
1;198
0;200
1;201
0;225
0;243
0;250
1;255
1;256
1;258
0;261
1;265
0;270
1;271
1;273
1;274
0;276
1;277
1;279
1;280
0;286
1;288
0;291
1;298
1;299
0;300
0;302
1;306
1;307
1;311
1;317
0;328
0;329
0;330
1;331
1;337
1;339
0;340
0;341
1;343
1;344
1;346
0;348
0;349
0;350
1;351
1;354
0;355
0;360
0;362
1;364
1;365
0;368
1;375
0;388
1;399
0;413
1;491
0;497
1;547
0;648
1;687
0;695
1;733
1;734
0;762
0;763
1;784
1;794
1;803
0;807
0;988
1;1018
1;1051
0;1107
1;1134
1;1140
0;1151
0;1185
1;1190
0;1220
0;1223
0;1225
0;1299
0;1300
1;1356
1;1419
0;1449
1;1460
0;1468
1;1476
1;1478
1;1500
1;1517
1;1567
0;1590
0;1603
1;1612
0;1657
1;1670
0;1681
1;1689
0;1693
0;1694
1;1695
0;1696
1;1697
1;1698
1;1701
1;1704
1;1716
0;1733
1;1744
0;1745
1;1756
1;1757
1;1758
1;1824
0;1844
1;1864
0;1886
0;1890
0;1910
1;1911
1;1941
0;1948
1;1978
0;1998
1;2073
1;2101
1;2102
1;2104
0;2105
0;2112
1;2114
1;2115
0;2117
0;2124
0;2129
0;2133
0;2138
1;2153
1;2162
1;2172
0;2183
0;2186
1;2187
0;2200
1;2202
0;2206
1;2224
0;2234
1;2241
1;2243
0;2246
0;2249
1;2250
0;2280
1;2284
1;2286
1;2290
0;2302
1;2313
1;2315
1;2323
1;2327
1;2338
1;2345
0;2349
0;2356
0;2360
0;2362
0;2365
1;2367
1;2368
0;2370
1;2373
0;2374
0;2375
1;2378
1;2379
1;2380
1;2382
0;2383
0;2388
1;2422
1;2424
1;2425
0;2426
1;2441
0;2449
0;2450
0;2451
0;2456
1;2457
0;2459
0;2462
0;2463
1;2464
1;2465
1;2472
0;2479
1;2480
0;2484
1;2488
1;2492
0;2508
0;2510
0;2523
1;2525
1;2529
0;2533
1;2553
1;2555
0;2556
1;2560
0;2566
1;2572
1;2576
1;2577
1;2579
0;2580
0;2585
0;2588
0;2589
0;2591
0;2593
0;2599
1;2600
1;2609
1;2610
1;2611
1;2613
0;2616
0;2617
1;2620
1;2625
0;2628
1;2632
0;2633
1;2635
0;2636
0;2637
1;2640
1;2641
0;2642
1;2645
1;2646
0;2647
1;2648
1;2649
0;2650
0;2652
1;2654
0;2656
1;2657
1;2660
0;2661
0;2662
0;2663
0;2664
1;2665
0;2666
1;2667
0;2668
0;2670
0;2671
1;2672
1;2673
1;2674
0;2675
1;2676
0;2677
1;2678
1;2679
0;2681
1;2682
0;2683
0;2684
0;2685
1;2687
1;2689
0;2702
1;2703
0;2705
0;2706
0;2709
1;2711
1;2717
1;2729
0;2740
0;2743
1;2746
1;2755
1;2772
0;2777
1;2782
1;2787
1;2788
0;2790
0;2791
0;2797
0;2807
1;2808
1;2809
0;2813
0;2814
1;2815
1;2816
0;2818
0;2819
0;2820
0;2821
0;2822
1;2825
0;2827
0;2828
0;2830
0;2833
1;2834
1;2835
0;2836
1;2838
0;2840
1;2843
1;2844
1;2847
1;2848
1;2849
1;2851
0;2852
1;2853
1;2854
1;2855
0;2856
0;2857
1;2858
0;2859
0;2860
0;2864
1;2865
0;2866
0;2867
1;2874
1;2878
0;2880
0;2889
0;2891
0;2895
0;2896
1;2898
0;2901
0;2906
0;2913
0;2914
1;2915
0;2923
1;2925
0;2926
1;2927
1;2928
1;2930
0;2932
0;2937
0;2941
1;2942
0;2943
0;2948
1;2958
1;2961
0;2962
0;2967
1;2974
1;2975
0;2976
1;2979
1;2984
1;2988
1;2989
0;2990
0;2992
1;2993
0;2998
0;2999
1;3000
1;3001
1;3002
1;3003
1;3008
0;3014
0;3018
0;3019
0;3020
0;3021
0;3024
0;3025
1;3027
1;3028
1;3039
0;3041
1;3043
1;3047
0;3052
1;3057
1;3059
1;3067
0;3069
1;3071
0;3073
1;3074
1;3075
0;3077
0;3078
0;3079
0;3081
0;3082
1;3083
0;3084
1;3085
1;3088
0;3090
0;3091
0;3100
1;3101
1;3105
0;3118
0;3119
1;3120
0;3121
0;3122
0;3123
1;3125
0;3135
0;3140
1;3141
0;3142
1;3143
1;3145
0;3146
1;3147
0;3148
1;3149
1;3150
1;3151
1;3152
0;3155
0;3157
1;3158
1;3161
1;3162
0;3163
1;3164
1;3165
0;3166
0;3167
1;3169
0;3187
1;3190
1;3197
0;3200
0;3201
0;3202
0;3207
1;3210
1;3213
1;3221
0;3222
0;3226
0;3231
0;3232
1;3233
1;3239
0;3241
1;3242
0;3245
1;3247
0;3249
0;3251
0;3252
0;3254
1;3255
1;3256
0;3257
0;3258
1;3259
1;3260
0;3262
1;3264
1;3265
1;3267
1;3268
0;3269
1;3281
0;3283
1;3288
