"stage";"Year";"Location";"total"
"1";"adult";1998;"gjerøy";46
"2";"adult";1998;"hestmannøy";85
"3";"adult";1998;"indre kvarøy";39
"4";"adult";1998;"nesøy";21
"5";"adult";1999;"aldra";7
"6";"adult";1999;"gjerøy";62
"7";"adult";1999;"hestmannøy";119
"8";"adult";1999;"indre kvarøy";44
"9";"adult";1999;"lovund";24
"10";"adult";1999;"nesøy";18
"11";"adult";1999;"selvær";77
"12";"adult";1999;"sleneset";36
"13";"adult";1999;"træna";62
"14";"adult";2000;"aldra";18
"15";"adult";2000;"gjerøy";61
"16";"adult";2000;"hestmannøy";109
"17";"adult";2000;"indre kvarøy";26
"18";"adult";2000;"nesøy";26
"19";"adult";2001;"aldra";28
"20";"adult";2001;"gjerøy";47
"21";"adult";2001;"hestmannøy";105
"22";"adult";2001;"indre kvarøy";31
"23";"adult";2001;"nesøy";24
"24";"adult";2002;"aldra";29
"25";"adult";2002;"gjerøy";36
"26";"adult";2002;"hestmannøy";63
"27";"adult";2002;"indre kvarøy";31
"28";"adult";2002;"nesøy";19
"29";"adult";2003;"aldra";30
"30";"adult";2003;"gjerøy";36
"31";"adult";2003;"hestmannøy";73
"32";"adult";2003;"indre kvarøy";30
"33";"adult";2003;"lovund";18
"34";"adult";2003;"nesøy";11
"35";"adult";2003;"selvær";10
"36";"adult";2003;"træna";4
"37";"adult";2004;"aldra";42
"38";"adult";2004;"gjerøy";47
"39";"adult";2004;"hestmannøy";75
"40";"adult";2004;"indre kvarøy";25
"41";"adult";2004;"lovund";27
"42";"adult";2004;"myken";17
"43";"adult";2004;"nesøy";15
"44";"adult";2004;"selvær";31
"45";"adult";2004;"sleneset";17
"46";"adult";2004;"træna";21
"47";"adult";2005;"aldra";52
"48";"adult";2005;"gjerøy";42
"49";"adult";2005;"hestmannøy";102
"50";"adult";2005;"indre kvarøy";33
"51";"adult";2005;"lovund";20
"52";"adult";2005;"myken";17
"53";"adult";2005;"nesøy";23
"54";"adult";2005;"selvær";47
"55";"adult";2005;"sleneset";14
"56";"adult";2005;"træna";32
"57";"adult";2006;"aldra";35
"58";"adult";2006;"gjerøy";50
"59";"adult";2006;"hestmannøy";116
"60";"adult";2006;"indre kvarøy";30
"61";"adult";2006;"lovund";29
"62";"adult";2006;"myken";14
"63";"adult";2006;"nesøy";13
"64";"adult";2006;"selvær";29
"65";"adult";2006;"sleneset";24
"66";"adult";2006;"træna";25
"67";"adult";2007;"aldra";38
"68";"adult";2007;"gjerøy";55
"69";"adult";2007;"hestmannøy";166
"70";"adult";2007;"indre kvarøy";42
"71";"adult";2007;"lovund";17
"72";"adult";2007;"myken";14
"73";"adult";2007;"nesøy";10
"74";"adult";2007;"selvær";42
"75";"adult";2007;"sleneset";26
"76";"adult";2007;"træna";49
"77";"adult";2008;"aldra";43
"78";"adult";2008;"gjerøy";95
"79";"adult";2008;"hestmannøy";137
"80";"adult";2008;"indre kvarøy";45
"81";"adult";2008;"lovund";20
"82";"adult";2008;"myken";10
"83";"adult";2008;"nesøy";11
"84";"adult";2008;"selvær";45
"85";"adult";2008;"sleneset";28
"86";"adult";2008;"træna";20
"87";"adult";2009;"aldra";47
"88";"adult";2009;"gjerøy";89
"89";"adult";2009;"hestmannøy";139
"90";"adult";2009;"indre kvarøy";29
"91";"adult";2009;"lovund";19
"92";"adult";2009;"myken";9
"93";"adult";2009;"nesøy";13
"94";"adult";2009;"selvær";38
"95";"adult";2009;"sleneset";20
"96";"adult";2009;"træna";34
"97";"adult";2010;"aldra";20
"98";"adult";2010;"gjerøy";99
"99";"adult";2010;"hestmannøy";158
"100";"adult";2010;"indre kvarøy";50
"101";"adult";2010;"lovund";23
"102";"adult";2010;"myken";11
"103";"adult";2010;"nesøy";13
"104";"adult";2010;"selvær";29
"105";"adult";2010;"sleneset";25
"106";"adult";2010;"træna";35
"107";"adult";2011;"aldra";11
"108";"adult";2011;"gjerøy";129
"109";"adult";2011;"hestmannøy";225
"110";"adult";2011;"indre kvarøy";60
"111";"adult";2011;"lovund";35
"112";"adult";2011;"myken";23
"113";"adult";2011;"nesøy";16
"114";"adult";2011;"selvær";69
"115";"adult";2011;"sleneset";32
"116";"adult";2011;"træna";72
"117";"adult";2012;"aldra";21
"118";"adult";2012;"gjerøy";139
"119";"adult";2012;"hestmannøy";124
"120";"adult";2012;"indre kvarøy";48
"121";"adult";2012;"lovund";20
"122";"adult";2012;"myken";19
"123";"adult";2012;"nesøy";16
"124";"adult";2012;"selvær";41
"125";"adult";2012;"sleneset";15
"126";"adult";2012;"træna";45
"127";"adult";2013;"aldra";11
"128";"adult";2013;"gjerøy";128
"129";"adult";2013;"hestmannøy";90
"130";"adult";2013;"indre kvarøy";48
"131";"adult";2013;"lovund";63
"132";"adult";2013;"myken";6
"133";"adult";2013;"nesøy";6
"134";"adult";2013;"selvær";44
"135";"adult";2013;"sleneset";27
"136";"adult";2013;"træna";57
"137";"adult";2014;"aldra";8
"138";"adult";2014;"gjerøy";58
"139";"adult";2014;"hestmannøy";93
"140";"adult";2014;"indre kvarøy";47
"141";"adult";2014;"lovund";25
"142";"adult";2014;"nesøy";4
"143";"adult";2014;"selvær";36
"144";"adult";2014;"sleneset";31
